Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 15.81      3.45     3.45 396526184     0.00     0.00  operator-(b2Vec2 const&, b2Vec2 const&)
  8.08      5.21     1.76                             b2TestOverlap(b2AABB const&, b2AABB const&)
  6.43      6.61     1.40 686024043     0.00     0.00  b2Vec2::b2Vec2(float, float)
  5.97      7.91     1.30                             b2Min(b2Vec2 const&, b2Vec2 const&)
  5.09      9.02     1.11                             b2Max(b2Vec2 const&, b2Vec2 const&)
  3.99      9.89     0.87                             void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const
  3.81     10.72     0.83                             b2Mul(b2Transform const&, b2Vec2 const&)
  3.67     11.52     0.80                             b2DynamicTree::InsertLeaf(int)
  3.07     12.19     0.67                             b2PolygonShape::Set(b2Vec2 const*, int)
  2.52     12.74     0.55                             b2GrowableStack<int, 256>::Pop()
  2.43     13.27     0.53                             b2AABB::GetPerimeter() const
  2.20     13.75     0.48 10400000     0.00     0.00  debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&)
  2.02     14.19     0.44                             b2AABB::Combine(b2AABB const&, b2AABB const&)
  1.88     14.60     0.41                             b2GrowableStack<int, 256>::GetCount()
  1.86     15.00     0.41 575932669     0.00     0.00  b2Vec2::b2Vec2()
  1.77     15.39     0.39 169652296     0.00     0.00  float b2Min<float>(float, float)
  1.61     15.74     0.35                             b2GrowableStack<int, 256>::Push(int const&)
  1.51     16.07     0.33                             b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&)
  1.51     16.40     0.33                             b2DynamicTree::Balance(int)
  1.35     16.69     0.30 170454926     0.00     0.00  float b2Max<float>(float, float)
  1.33     16.98     0.29                             ComputeCentroid(b2Vec2 const*, int)
  1.19     17.24     0.26 30047928     0.00     0.00  b2Cross(b2Vec2 const&, b2Vec2 const&)
  1.12     17.49     0.25 26634802     0.00     0.00  operator+(b2Vec2 const&, b2Vec2 const&)
  0.96     17.70     0.21                             b2World::Solve(b2TimeStep const&)
  0.83     17.88     0.18                             b2TreeNode::IsLeaf() const
  0.78     18.05     0.17                             b2World::DrawDebugData()
  0.64     18.19     0.14   200000     0.00     0.00  debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&)
  0.64     18.33     0.14                             b2DynamicTree::RemoveLeaf(int)
  0.64     18.47     0.14                             b2Body::IsAwake() const
  0.64     18.61     0.14 14700328     0.00     0.00  operator*(float, b2Vec2 const&)
  0.60     18.74     0.13   100000     0.00     0.00  cs296::dominos_t::check()
  0.60     18.87     0.13                             b2Vec2::LengthSquared() const
  0.55     18.99     0.12 12116278     0.00     0.00  b2Dot(b2Vec2 const&, b2Vec2 const&)
  0.50     19.10     0.11                             b2World::SolveTOI(b2TimeStep const&)
  0.48     19.20     0.11        1   105.00   105.00  __static_initialization_and_destruction_0(int, int)
  0.46     19.30     0.10                             b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  0.41     19.39     0.09                             b2DistanceSquared(b2Vec2 const&, b2Vec2 const&)
  0.37     19.47     0.08                             b2Body::DestroyFixture(b2Fixture*)
  0.37     19.55     0.08                             b2BroadPhase::UnBufferMove(int)
  0.34     19.63     0.08                             b2BlockAllocator::Free(void*, int)
  0.32     19.70     0.07                             b2World::DrawJoint(b2Joint*)
  0.32     19.77     0.07                             b2Fixture::Create(b2BlockAllocator*, b2Body*, b2FixtureDef const*)
  0.32     19.84     0.07                             b2Vec2::Normalize()
  0.28     19.90     0.06 44106951     0.00     0.00  b2AABB::b2AABB()
  0.28     19.96     0.06 25204430     0.00     0.00  b2Fixture::GetBody()
  0.28     20.02     0.06                             b2Body::ResetMassData()
  0.25     20.07     0.06                             b2BlockAllocator::Allocate(int)
  0.25     20.13     0.06                             b2Fixture::GetType() const
